STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/21/1990,12.3,0,0,0,,70,59,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/22/1990,9.62,0,0,0,,77,65,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/23/1990,8.05,0.37,0,0,,70,65,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/24/1990,6.71,1.75,0,0,,73,68,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/25/1990,6.71,0,0,0,,83,71,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/26/1990,6.26,0,0,0,,83,71,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/27/1990,6.93,0.17,0,0,,90,71,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/28/1990,7.38,0.19,0,0,,85,69,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/29/1990,9.84,0.46,0,0,,85,68,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/30/1990,8.28,0,0,0,,83,66,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/31/1990,5.59,0,0,0,,83,66,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/1/1990,7.83,0,0,0,,79,67,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/2/1990,8.28,0.27,0,0,,82,70,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/3/1990,10.96,0,0,0,,77,63,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/4/1990,8.28,0,0,0,,74,59,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/5/1990,9.4,0,0,0,,77,64,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/6/1990,7.83,0,0,0,,79,70,,
